Quote,Speaker,Source,Type
"If, by my life or death, I can protect you, I will.",Aragorn,The Fellowship of the Ring,Movie
And my axe.,Gimli,The Fellowship of the Ring,Movie
"No, Indeed, it is hardly possible to separate you... even when he is summoned to a secret council and you are not.",Elrond,The Fellowship of the Ring,Movie
You need people of intelligence on this sort of mission... quest... thing.,Pippin,The Fellowship of the Ring,Movie
"Yes, yes, made by the Elves, you know. The blade glows blue when Orcs are close... and it's times like that, my lad, when you have to be extra careful.",Bilbo,The Fellowship of the Ring,Movie
"Here's a pretty thing. Mithril, as light as a feather, and as hard as dragon scales.",Bilbo,The Fellowship of the Ring,Movie
"Oh! My old Ring... I should very much like to hold it again, one last time.",Bilbo,The Fellowship of the Ring,Movie
"I'm sorry, that I brought this upon you, my boy... I'm sorry that you must carry this burden. I'm sorry for everything.",Bilbo,The Fellowship of the Ring,Movie
"If anyone were to ask for my opinion, which I note they have not, I would say we are taking the long way round. Gandalf, we can pass through the Mines of Moria. My cousin, Balin, would give us a royal welcome.",Gimli,The Fellowship of the Ring,Movie
What is that? // Nothing...it's just a wisp of a cloud.,Sam & Gimli,The Fellowship of the Ring,Movie
It is a strange fate that we should suffer so much fear and doubt over so small a thing... such a little thing.,Boromir,The Fellowship of the Ring,Movie
There is a fell voice in the air.,Legolas,The Fellowship of the Ring,Movie
Let the ringbearer decide.,Gandalf,The Fellowship of the Ring,Movie
"It reads, ""The door of Durin, Lord of Moria. Speak, friend, and enter.""",Gandalf,The Fellowship of the Ring,Movie
"Speak, friend, and enter. What's the Elvish for friend? // Oh... mellon.",Frodo & Gandalf,The Fellowship of the Ring,Movie
"So, master elf, you will enjoy the fabled hospitality of the dwarves; roaring fires, malt beer, red meat off the bone. This, my friend, is the home of my cousin, Balin, and they call this a mine... a mine!",Gimli,The Fellowship of the Ring,Movie
This is no mine... it's a tomb!,Boromir,The Fellowship of the Ring,Movie
We now have but one choice. We must face the long dark of Moria. Be on your guard... there are older and fouler things than the Orcs in the deep places of the world.,Gandalf,The Fellowship of the Ring,Movie
I have no memory of this place.,Gandalf,The Fellowship of the Ring,Movie
"Many that live deserve death, and some that die deserve life. Can you give it to them, Frodo?",Gandalf,The Fellowship of the Ring,Movie
Do not be too eager to deal out death in judgment...even the very wise cannot see all ends.,Gandalf,The Fellowship of the Ring,Movie
I wish the ring had never come to me... I wish none of this had happened.,Frodo,The Fellowship of the Ring,Movie
All we have to decide is what to do with the time that is given to us.,Gandalf,The Fellowship of the Ring,Movie
"If in doubt, Meriadoc, always follow your nose!",Gandalf,The Fellowship of the Ring,Movie
Fool of a Took! Throw yourself in next time and rid us of your stupidity!,Gandalf,The Fellowship of the Ring,Movie
They have a cave troll!,Boromir,The Fellowship of the Ring,Movie
You should be dead. That spear would've skewered a wild boar!,Aragorn,The Fellowship of the Ring,Movie
I think there's more to this hobbit than meets the eye.,Gandalf,The Fellowship of the Ring,Movie
Nobody tosses a dwarf!,Gimli,The Fellowship of the Ring,Movie
You shall not pass!,Gandalf,The Fellowship of the Ring,Movie
"I am a servant of the Secret Fire, wielder of the flame of Anor. The dark fire will not avail you, flame of Udun.",Gandalf,The Fellowship of the Ring,Movie
"Fly, you fools!",Gandalf,The Fellowship of the Ring,Movie
Give them a moment... for pity's sake!,Boromir,The Fellowship of the Ring,Movie
"Well, here's one dwarf she won't ensnare so easily. I have the eyes of a hawk and the ears of a fox!",Gimli,The Fellowship of the Ring,Movie
The dwarf breathes so loud we could have shot him in the dark.,Haldir,The Fellowship of the Ring,Movie
Even the wisest cannot tell for the mirror shows many things... things that were... things that are... and some things that have not yet come to pass.,Galadriel,The Fellowship of the Ring,Movie
"I know what it is you saw... for it is also in my mind. It is the future, Frodo. It is what will come to pass if you should fail.",Galadriel,The Fellowship of the Ring,Movie
"They were Elves once. Taken by the Dark Powers, tortured and mutilated, a ruined and terrible form of life. And now... perfected.",Saruman,The Fellowship of the Ring,Movie
Hunt them down. Do not stop until they are found. You do not know pain. You do not know fear. You will taste man-flesh.,Saruman,The Fellowship of the Ring,Movie
"Oh, yes, just a simple matter of finding our way through Emyn Muil, an impassable labyrinth of razor sharp rocks. And after that gets even better... a festering, stinking marshland, far as the eye can see.",Gimli,The Fellowship of the Ring,Movie
"I know why you seek solitude. You suffer, I see it day by day. Are you sure you do not suffer needlessly?",Boromir,The Fellowship of the Ring,Movie
"I know what you would say, and it would seem like wisdom but for the warning of my heart.",Frodo,The Fellowship of the Ring,Movie
Why do you recoil? I am no thief. // You are not yourself.,Boromir & Frodo,The Fellowship of the Ring,Movie
I swore to protect you. // Can you protect me from yourself?,Aragorn & Frodo,The Fellowship of the Ring,Movie
I would have gone with you to the end... into the very fires of Mordor.,Aragorn,The Fellowship of the Ring,Movie
"I would have followed you, my brother, my captain, my King.",Boromir,The Fellowship of the Ring,Movie
"I'm going to Mordor alone. // Of course you are, and I'm coming with you!",Frodo & Sam,The Fellowship of the Ring,Movie
We travel light. Let's hunt some Orc.,Aragorn,The Fellowship of the Ring,Movie
"The Road goes ever on and on, down from the door where it began. Now far ahead the Road has gone, and I must follow, if I can, pursuing it with eager feet, until it joins some larger way where many paths and errands meet. And whither then? I cannot say.",Gandalf,The Fellowship of the Ring,Movie
"That there’s some good in this world, Mr. Frodo. And it’s worth fighting for. ",Samwise,The Two Towers,Movie
"How could the world go back to the way it was when so much bad happened? But in the end, it’s only a passing thing, this shadow. Even darkness must pass. A new day will come.",Samwise,The Two Towers,Movie
"All that is gold does not glitter, not all those who wander are lost; the old that is strong does not wither, deep roots are not reached by the frost. from the ashes a fire shall be woken, a light from the shadows shall spring; renewed shall be blade that was broken, the crownless again shall be king.",Gandalf,The Fellowship of the Ring,Book
Not all who wander are lost.,Gandalf,The Fellowship of the Ring,Book
Faithless is he who says farewell when the road darkens.,Gimli,The Fellowship of the Ring,Book
"May it be a light to you in dark places, when all other lights go out.",Galadriel,The Fellowship of the Ring,Movie
"Do not meddle in the affairs of wizards, for they are subtle and quick to anger.",Gandalf,The Fellowship of the Ring,Book
Short cuts make long delays.,Gandalf,The Fellowship of the Ring,Movie
He that breaks a thing to find out what it is has left the path of wisdom.,Gandalf,The Fellowship of the Ring,Book
